id,name_en,name_ru,parent_id
1,Business books,Бизнес-книги,NULL
2,Economy,Экономика,1
3,Management,Менеджмент,1
4,Banking,Банковское дело,1
5,"Accounting, taxation, audit","Бухучет, налогообложение, аудит",1
6,Office work,Делопроизводство,1
7,Foreign business literature,Зарубежная деловая литература,1
8,"Securities, investments","Ценные бумаги, инвестиции",1
9,Real estate,Недвижимость,1
10,Sales,Продажи,1
11,Finance,Финансы,1
12,"Oratory, rhetoric","Ораторское искусство, риторика",1
13,Personal finance,Личные финансы,1
14,Industry publications,Отраслевые издания,1
15,Small business,Малый бизнес,1
16,Personal effectiveness,Личная эффективность,1
17,State and municipal administration,Государственное и муниципальное управление,1
18,Negotiation,Переговоры,1
19,Corporate culture,Корпоративная культура,1
20,Time management,Тайм-менеджмент,1
21,Startups and business creation,Стартапы и создание бизнеса,1
22,Management and personnel,Менеджмент и кадры,1
23,Work with clients,Работа с клиентами,1
24,Political management,Политическое управление,1
25,Classic literature,Классическая литература,NULL
26,Foreign classics,Зарубежная классика,25
27,Classical prose,Классическая проза,25
28,Russian classics,Русская классика,25
29,Ancient literature,Старинная литература,25
30,20th century literature,Литература 20 века,25
31,"Myths, legends, epic","Мифы, легенды, эпос",25
32,Soviet literature,Советская литература,25
33,Folklore,Фольклор,25
34,19th century literature,Литература 19 века,25
35,Ancient literature,Античная литература,25
36,European ancient literature,Европейская старинная литература,25
37,18th century literature,Литература 18 века,25
38,Foreign ancient literature,Зарубежная старинная литература,25
39,Ancient eastern literature,Древневосточная литература,25
40,Old russian literature,Древнерусская литература,25
41,Foreign literature,Зарубежная литература,NULL
43,Modern foreign literature,Современная зарубежная литература,41
44,Foreign romance novels,Зарубежные любовные романы,41
45,Foreign detectives,Зарубежные детективы,41
46,Foreign children's books,Зарубежные детские книги,41
47,Foreign fiction,Зарубежная фантастика,41
48,Foreign fantasy,Зарубежное фэнтези,41
49,Foreign literature about culture and art,Зарубежная литература о культуре и искусстве,41
50,Foreign poetry,Зарубежная поэзия,41
51,Foreign dramaturgy,Зарубежная драматургия,41
52,Foreign applied literature,Зарубежная прикладная литература,41
53,Foreign educational literature,Зарубежная образовательная литература,41
54,Foreign journalism,Зарубежная публицистика,41
55,Foreign psychology,Зарубежная психология,41
56,Foreign computer literature,Зарубежная компьютерная литература,41
57,Foreign religious and esoteric literature,Зарубежная религиозная и эзотерическая литература,41
58,Foreign humor,Зарубежный юмор,41
59,Foreign adventure,Зарубежные приключения,41
61,Foreign fighters,Зарубежные боевики,41
62,Foreign religious literature,Зарубежная религиозная литература,41
63,Foreign reference literature,Зарубежная справочная литература,41
64,Foreign esoteric literature,Зарубежная эзотерическая литература,41
65,Russian literature,Русская литература,NULL
66,Modern russian literature,Современная русская литература,65
67,Russian literature for children,Русская литература для детей,65
68,Domestic detectives,Отечественные детективы,65
70,Domestic fiction,Отечественная фантастика,65
71,Russian fantasy,Русское фэнтези,65
72,Domestic male detective,Отечественный мужской детектив,65
73,Patriotic poetry,Отечественная поэзия,65
74,Domestic female detective,Отечественный женский детектив,65
75,Domestic poetry for children,Отечественная поэзия для детей,65
76,Tales of domestic writers,Сказки отечественных писателей,65
77,Domestic romance novels,Отечественные любовные романы,65
79,Domestic memoirs,Отечественные мемуары,65
80,Domestic dramaturgy,Отечественная драматургия,65
81,Russian classics for children,Русская классика для детей,65
82,Domestic militant,Отечественный боевик,65
83,Classic domestic detective,Классический отечественный детектив,65
84,Modern domestic detective,Современный отечественный детектив,65
